COUNTYFP,STATE,MODE_USAGE,MASK_FREQ,RESPONSE
29155,Missouri,ALWAYS,ALWAYS,0.407
29157,Missouri,ALWAYS,NEVER,0.032
29157,Missouri,ALWAYS,RARELY,0.102
29157,Missouri,ALWAYS,SOMETIMES,0.156
29157,Missouri,ALWAYS,FREQUENTLY,0.302
29157,Missouri,ALWAYS,ALWAYS,0.408
29159,Missouri,ALWAYS,NEVER,0.185
29159,Missouri,ALWAYS,RARELY,0.111
29159,Missouri,ALWAYS,SOMETIMES,0.156
29159,Missouri,ALWAYS,FREQUENTLY,0.254
29159,Missouri,ALWAYS,ALWAYS,0.294
29161,Missouri,ALWAYS,NEVER,0.139
29161,Missouri,ALWAYS,RARELY,0.177
29161,Missouri,ALWAYS,SOMETIMES,0.119
29161,Missouri,ALWAYS,FREQUENTLY,0.244
29161,Missouri,ALWAYS,ALWAYS,0.32
29163,Missouri,SOMETIMES,NEVER,0.082
29163,Missouri,SOMETIMES,RARELY,0.128
29163,Missouri,SOMETIMES,SOMETIMES,0.363
29163,Missouri,SOMETIMES,FREQUENTLY,0.263
29163,Missouri,SOMETIMES,ALWAYS,0.164
29165,Missouri,ALWAYS,NEVER,0.044
29165,Missouri,ALWAYS,RARELY,0.04
29165,Missouri,ALWAYS,SOMETIMES,0.088
29165,Missouri,ALWAYS,FREQUENTLY,0.189
29165,Missouri,ALWAYS,ALWAYS,0.638
29167,Missouri,ALWAYS,NEVER,0.183
29167,Missouri,ALWAYS,RARELY,0.109
29167,Missouri,ALWAYS,SOMETIMES,0.103
29167,Missouri,ALWAYS,FREQUENTLY,0.189
29167,Missouri,ALWAYS,ALWAYS,0.416
29169,Missouri,ALWAYS,NEVER,0.208
29169,Missouri,ALWAYS,RARELY,0.103
29169,Missouri,ALWAYS,SOMETIMES,0.16
29169,Missouri,ALWAYS,FREQUENTLY,0.175
29169,Missouri,ALWAYS,ALWAYS,0.354
29171,Missouri,ALWAYS,NEVER,0.107
29171,Missouri,ALWAYS,RARELY,0.111
29171,Missouri,ALWAYS,SOMETIMES,0.209
29171,Missouri,ALWAYS,FREQUENTLY,0.191
29171,Missouri,ALWAYS,ALWAYS,0.382
29173,Missouri,ALWAYS,NEVER,0.16
29173,Missouri,ALWAYS,RARELY,0.106
29173,Missouri,ALWAYS,SOMETIMES,0.248
29173,Missouri,ALWAYS,FREQUENTLY,0.196
29173,Missouri,ALWAYS,ALWAYS,0.29
29175,Missouri,ALWAYS,NEVER,0.163
29175,Missouri,ALWAYS,RARELY,0.088
29175,Missouri,ALWAYS,SOMETIMES,0.145
29175,Missouri,ALWAYS,FREQUENTLY,0.194
29175,Missouri,ALWAYS,ALWAYS,0.41
29177,Missouri,ALWAYS,NEVER,0.073
29177,Missouri,ALWAYS,RARELY,0.124
29177,Missouri,ALWAYS,SOMETIMES,0.233
29177,Missouri,ALWAYS,FREQUENTLY,0.184
29177,Missouri,ALWAYS,ALWAYS,0.386
29179,Missouri,ALWAYS,NEVER,0.137
29179,Missouri,ALWAYS,RARELY,0.183
29179,Missouri,ALWAYS,SOMETIMES,0.085
29179,Missouri,ALWAYS,FREQUENTLY,0.229
29179,Missouri,ALWAYS,ALWAYS,0.366
29181,Missouri,ALWAYS,NEVER,0.126
29181,Missouri,ALWAYS,RARELY,0.254
29181,Missouri,ALWAYS,SOMETIMES,0.161
29181,Missouri,ALWAYS,FREQUENTLY,0.15
29181,Missouri,ALWAYS,ALWAYS,0.308
29183,Missouri,ALWAYS,NEVER,0.041
29183,Missouri,ALWAYS,RARELY,0.05
29183,Missouri,ALWAYS,SOMETIMES,0.091
29183,Missouri,ALWAYS,FREQUENTLY,0.286
29183,Missouri,ALWAYS,ALWAYS,0.532
29185,Missouri,FREQUENTLY,NEVER,0.163
29185,Missouri,FREQUENTLY,RARELY,0.145
29185,Missouri,FREQUENTLY,SOMETIMES,0.182
29185,Missouri,FREQUENTLY,FREQUENTLY,0.279
29185,Missouri,FREQUENTLY,ALWAYS,0.23
29186,Missouri,ALWAYS,NEVER,0.025
29186,Missouri,ALWAYS,RARELY,0.14
29186,Missouri,ALWAYS,SOMETIMES,0.144
29186,Missouri,ALWAYS,FREQUENTLY,0.311
29186,Missouri,ALWAYS,ALWAYS,0.38
29187,Missouri,ALWAYS,NEVER,0.103
29187,Missouri,ALWAYS,RARELY,0.12
29187,Missouri,ALWAYS,SOMETIMES,0.085
29187,Missouri,ALWAYS,FREQUENTLY,0.264
29187,Missouri,ALWAYS,ALWAYS,0.428
29189,Missouri,ALWAYS,NEVER,0.024
29189,Missouri,ALWAYS,RARELY,0.028
29189,Missouri,ALWAYS,SOMETIMES,0.069
29189,Missouri,ALWAYS,FREQUENTLY,0.182
29189,Missouri,ALWAYS,ALWAYS,0.697
29195,Missouri,ALWAYS,NEVER,0.083
29195,Missouri,ALWAYS,RARELY,0.23
29195,Missouri,ALWAYS,SOMETIMES,0.112
29195,Missouri,ALWAYS,FREQUENTLY,0.186
29195,Missouri,ALWAYS,ALWAYS,0.389
29197,Missouri,ALWAYS,NEVER,0.05
29197,Missouri,ALWAYS,RARELY,0.101
29197,Missouri,ALWAYS,SOMETIMES,0.211
29197,Missouri,ALWAYS,FREQUENTLY,0.222
29197,Missouri,ALWAYS,ALWAYS,0.416
29199,Missouri,ALWAYS,NEVER,0.073
29199,Missouri,ALWAYS,RARELY,0.112
29199,Missouri,ALWAYS,SOMETIMES,0.209
29199,Missouri,ALWAYS,FREQUENTLY,0.246
29199,Missouri,ALWAYS,ALWAYS,0.361
29201,Missouri,ALWAYS,NEVER,0.125
29201,Missouri,ALWAYS,RARELY,0.115
29201,Missouri,ALWAYS,SOMETIMES,0.128
29201,Missouri,ALWAYS,FREQUENTLY,0.247
29201,Missouri,ALWAYS,ALWAYS,0.385
29203,Missouri,RARELY,NEVER,0.212
29203,Missouri,RARELY,RARELY,0.25
29203,Missouri,RARELY,SOMETIMES,0.198
29203,Missouri,RARELY,FREQUENTLY,0.098
29203,Missouri,RARELY,ALWAYS,0.243
29205,Missouri,ALWAYS,NEVER,0.142
29205,Missouri,ALWAYS,RARELY,0.144
29205,Missouri,ALWAYS,SOMETIMES,0.16
29205,Missouri,ALWAYS,FREQUENTLY,0.238
29205,Missouri,ALWAYS,ALWAYS,0.317
29207,Missouri,ALWAYS,NEVER,0.137
29207,Missouri,ALWAYS,RARELY,0.12
29207,Missouri,ALWAYS,SOMETIMES,0.156
29207,Missouri,ALWAYS,FREQUENTLY,0.176
29207,Missouri,ALWAYS,ALWAYS,0.411
29209,Missouri,ALWAYS,NEVER,0.056
29209,Missouri,ALWAYS,RARELY,0.093
29209,Missouri,ALWAYS,SOMETIMES,0.171
29209,Missouri,ALWAYS,FREQUENTLY,0.247
29209,Missouri,ALWAYS,ALWAYS,0.434
29211,Missouri,ALWAYS,NEVER,0.136
29211,Missouri,ALWAYS,RARELY,0.127
29211,Missouri,ALWAYS,SOMETIMES,0.174
29211,Missouri,ALWAYS,FREQUENTLY,0.223
29211,Missouri,ALWAYS,ALWAYS,0.341
29213,Missouri,ALWAYS,NEVER,0.053
29213,Missouri,ALWAYS,RARELY,0.079
29213,Missouri,ALWAYS,SOMETIMES,0.214
29213,Missouri,ALWAYS,FREQUENTLY,0.155
29213,Missouri,ALWAYS,ALWAYS,0.499
